node,average_degree_neighbors
668,35.42857142857143
871,43.441489361702125
988,1.0
4333,5.777777777777778
1058,0.0
6197,31.65625
744,68.70588235294117
1446,53.95945945945946
528,34.45454545454545
964,51.686440677966104
4697,5.411764705882353
6538,70.82727272727273
2234,39.755319148936174
4737,4.777777777777778
760,118.38297872340425
1610,52.3671875
4896,35.77777777777778
2495,68.1875
3013,31.217391304347824
2917,24.063157894736843
5414,46.25
32,119.0
1665,16.217391304347824
1724,153.5
3365,12.702127659574469
2475,8.416666666666666
33,241.86206896551724
4064,18.866666666666667
1242,74.08823529411765
591,86.88235294117646
3427,73.6
411,204.26530612244898
3680,56.18181818181818
1334,68.5
2149,65.75
3792,69.37837837837837
1660,334.1818181818182
4363,10.421052631578947
3986,9.555555555555555
763,135.55384615384617
5042,27.1
369,109.24431818181819
34,24.466666666666665
3888,10.363636363636363
5252,7.333333333333333
5407,31.5
5314,43.75
1915,57.54545454545455
5206,8.043478260869565
4506,11.525
4458,111.66666666666667
5009,37.0
865,90.87820512820512
3877,228.5
2181,142.15151515151516
779,154.375
1748,14.818181818181818
35,423.3333333333333
1538,64.95454545454545
3292,10.076923076923077
3941,100.91666666666667
4346,10.470588235294118
36,366.3
4685,19.4
441,135.2
5430,101.0
5893,1.6363636363636365
37,104.0
2098,12.11111111111111
1233,35.276119402985074
38,50.64718614718615
4440,13.454545454545455
4063,55.833333333333336
4505,68.3529411764706
5272,25.25
5274,12.428571428571429
394,256.28125
3277,52.42857142857143
805,69.34482758620689
2871,47.142857142857146
401,258.69444444444446
5281,46.23076923076923
2455,94.6923076923077
406,162.94444444444446
4825,19.142857142857142
193,30.451612903225808
3287,285.0
2466,153.57692307692307
820,78.11864406779661
5691,144.2391304347826
1245,75.60526315789474
2638,151.0
5859,2.0
2297,225.15384615384616
2062,149.5
2898,18.497652582159624
4097,33.214285714285715
4845,149.0
6128,2.0
4972,114.33333333333333
3308,56.5
2071,260.73333333333335
6136,0.0
1252,104.30952380952381
5315,36.583333333333336
3722,107.48
4483,49.869565217391305
128,287.2
1690,126.78571428571429
846,128.21311475409837
41,137.5625
4488,43.354838709677416
4114,28.962962962962962
2769,58.2
5613,185.85714285714286
5728,96.52941176470588
2503,30.548387096774192
5326,0.0
351,101.86666666666666
53,345.9583333333333
5236,40.75
1282,100.49253731343283
2097,48.875
2512,103.21739130434783
4126,8.0
4977,42.4
6106,26.0
1244,171.23809523809524
460,222.0
5342,49.25
5343,18.75
1695,179.1904761904762
5353,48.125
4331,28.93548387096774
5351,83.57142857142857
2114,136.16
1303,229.02857142857144
2116,98.66315789473684
2952,84.20930232558139
4905,41.529411764705884
1699,53.754901960784316
6224,6.833333333333333
2011,5.0
5478,46.2
4146,28.15
2538,28.387096774193548
3990,131.03571428571428
2124,83.54347826086956
5758,0.0
262,181.61764705882354
2321,16.0
486,304.1333333333333
1372,287.3636363636364
1325,119.3529411764706
896,235.26666666666668
6185,0.0
